"date","open","high","low","close","volume","turnover","return"
"2016/8/5",2128.74,2129.328,2107.438,2109.055,80180.39,1721983.95,-0.00971860622474807
"2016/8/8",2102.242,2130.594,2083.98,2130.594,83644.7,1825951.59,0.0101608342159727
"2016/8/9",2128.64,2154.505,2128.218,2154.505,103068.97,2294892.29,0.0111601847122724
"2016/8/10",2155.386,2164.626,2136.831,2137.001,92739.79,2093933.69,-0.00815755451250944
"2016/8/11",2134.604,2139.196,2103.396,2103.396,85552.21,1900966.84,-0.0158502628636255
"2016/8/12",2098.774,2123.865,2097.909,2123.841,74085.93,1622516.94,0.00967306040158
"2016/8/15",2126.791,2200.919,2112.25,2193.212,178994.44,4020827.61,0.0321408941694461
"2016/8/16",2195.024,2211.008,2192.969,2201.096,140314.64,3386820.62,0.00358828214106843
"2016/8/17",2200.235,2218.29,2195.368,2208.195,123221.48,2959808.69,0.00322002160159318
"2016/8/18",2204.955,2213.305,2191.934,2201.594,122309.52,2900899.44,-0.00299379627020535
"2016/8/19",2200.681,2211.062,2194.111,2204.556,101102.01,2288247.1,0.00134448461635905
"2016/8/22",2205.576,2213.411,2167.401,2167.401,111577.03,2489668.11,-0.0169973741898826
"2016/8/23",2168.338,2186.737,2160.296,2174.159,88881.41,1965866.06,0.00311316921019689
"2016/8/24",2178.528,2204.799,2176.347,2192.17,119386.71,2434066.94,0.0082499977239312
"2016/8/25",2179.015,2183.73,2152.113,2180.66,123635.01,2586343.87,-0.00526433754873246
"2016/8/26",2186.004,2211.628,2182.107,2189.749,123247.71,2649804.67,0.00415934211347224
"2016/8/29",2187.723,2209.253,2183.812,2193.201,106170.17,2309337.05,0.0015751951146008
"2016/8/30",2197.486,2210.397,2193.071,2195.531,91957.72,2043344.28,0.00106181020801088
"2016/8/31",2194.607,2198.251,2175.839,2191.758,89507.88,2047684.25,-0.00171996917920669
"2016/9/1",2192.941,2201.285,2181.327,2181.327,93102.64,2060236.98,-0.00477055432608697
"2016/9/2",2176.391,2187.695,2160.116,2170.858,101947.17,2179302.34,-0.00481092609440292
"2016/9/5",2178.635,2199.655,2178.095,2182.694,87861.31,1979955.91,0.00543741255939079
